SOURCE_ID,ra,dec,parallax,parallax_error,phot_g_mean_mag,pmra,pmdec,radial_velocity
458018340407727104,37.87447894404984,57.37870558540406,50.00541479563848,0.023927981033921242,12.018760681152344,1115.7192342216508,11.126863327716851,1.5972129106521606
2673992663636347520,327.8635523883638,-1.4538921085791252,50.0364884312193,0.04033242538571358,14.842791557312012,213.42468947925627,18.485081759202735,-1.3284529447555542
1573896198753650944,181.4021839662666,56.394863843666194,50.03910614418915,0.028860829770565033,14.2542085647583,82.7961211648786,-245.85313634130506,
4124980981624504064,265.06231458409354,-15.665588234845977,50.040350976791295,2.989454507827759,20.67031478881836,4.218717924702511,-6.696221257808405,
1454104436971779328,210.83875857040357,30.13201679858173,50.045835157385035,0.12354189902544022,17.02928352355957,-800.8089970699365,38.40889050515324,
18986817760556416,39.82435828918509,7.470816071340625,50.051067130892186,0.02795526757836342,12.859631538391113,480.3539295525312,-137.59848988223425,0.5433187484741211
1884744525522874880,342.8523234476119,29.662959272690284,50.051821712590645,0.19301311671733856,15.34188461303711,1246.0450745161127,138.2143119231665,
1089400763661597440,113.37909878073626,64.15647613415042,50.06421573579301,0.039078641682863235,16.00069236755371,42.26607735581379,-257.53900424412467,
3566338949070993536,169.2751391986689,-11.374359168981481,50.06686279862661,0.025470370426774025,12.452814102172852,-390.1623914864916,-148.97385588012096,-24.873201370239258
1575357587146077056,182.87538613424064,57.40314952754088,50.07790021323608,0.027994908392429352,15.622568130493164,413.8312371270634,-369.01131597298405,
5224999346778496128,176.87525389708776,-74.96043554292945,50.081745488051965,0.06155478581786156,17.154836654663086,-1067.841439844291,1354.6027492648213,
1193465794018333824,233.72272831519868,12.330221269012144,50.08265262174834,1.5357753038406372,20.55820083618164,170.2867545578152,-33.98510810853172,
2020972985439046016,296.5662296546161,25.492002306169883,50.086253104253736,1.8380703926086426,20.34809112548828,6.637264947371983,-9.340067019619394,
5930139823230549120,249.9034373299412,-55.410609508601574,50.09702378091545,0.024907538667321205,13.664892196655273,-90.69810340540502,-131.21172254663085,-6.152002334594727
3460907947316392704,179.85825763344897,-36.581095260695164,50.09971298084583,0.18163321912288666,17.36882781982422,79.99153083003414,-140.21958718843234,
2451701339832959232,22.623854394641025,-16.40544797329293,50.10880391723609,0.041742488741874695,12.666033744812012,-138.59148112229016,-131.97891494402356,10.177546501159668
3361034083487398016,106.14366570307367,16.956605362921632,50.12048659323419,0.023442499339580536,13.755599975585938,-7.089709767071129,-203.27454885448654,
3814369840081992448,170.40697509246232,6.1335228685553735,50.128971305643816,0.02928072400391102,12.452550888061523,-766.2313054739477,-1582.666367678073,47.33489227294922
3830128624846458752,150.8276129940987,-1.0853472941312068,50.13719268088734,0.09504301846027374,16.52741813659668,-498.70601940999535,46.90028438187775,
2759428629829608064,357.6535976770348,9.949318872191798,50.14831538141223,0.032247308641672134,10.59798526763916,652.9595417502628,253.91773159226113,-7.332231521606445
4242728884389090944,303.2508406645244,1.2158307317171082,50.153029375797786,0.2206440269947052,13.919990539550781,241.01100854148183,-80.07072743076154,-44.33866500854492
1329942262499164544,243.93381504499396,35.98086198987554,50.157292343805025,0.2875417172908783,19.598196029663086,-30.243613854086988,-529.3821778029584,
5673602319993218560,151.63163788535007,-16.889790633620176,50.185406898355396,0.07074721157550812,16.15801239013672,-317.8023069657723,191.31293002014002,
4178558705739687168,268.2008448013028,-2.34053816646723,50.207732877666544,1.8901910781860352,19.765748977661133,-9.459856731677124,7.650651798605233,
2328674716056981888,350.6940557179849,-31.558926773711832,50.22452483075953,0.245701864361763,18.298198699951172,-202.54292393904092,-540.7546071808875,
2867175035571212416,358.28539878993894,29.018151753627162,50.228223145721216,0.015265434980392456,9.145485877990723,-78.54896595233234,19.390034523173163,1.783065676689148
3602406744394215936,179.44156853878948,-1.8183858067070635,50.23149438811263,0.03420427814126015,14.222267150878906,396.53044691951715,-217.81593961539815,-8.78483772277832
4279261876207080576,283.3570176109194,2.8470624550523547,50.23635292571096,0.28424450755119324,11.437211990356445,295.67244144926894,47.467032754001806,
3943239882828182784,196.42085546243155,20.777990008984773,50.23726276417325,0.7437598705291748,20.30857276916504,-50.18338269049067,82.32481427442501,
6462049502543522688,323.9144197383885,-53.42468721801943,50.24701494353452,0.024356314912438393,14.052321434020996,-90.93614077365763,167.4289913627453,23.597980499267578
4237021938009045248,300.27588501384247,0.2700123380217709,50.26249449419899,0.01855511963367462,10.568735122680664,55.576076021778626,-217.71293434996872,-32.72385025024414
3793898479761174656,175.55387781734504,-1.3651467411429208,50.264321712414095,0.026474719867110252,11.501476287841797,-110.67450531208388,-18.246863243116504,-3.1064584255218506
6487483783474213632,359.6844071176511,-62.761415023739694,50.26921487111801,0.028897112235426903,14.875482559204102,590.8979026558277,83.5928139941755,
4092990622155744000,276.6302402477138,-19.39395723243286,50.28085534540498,0.03063707984983921,12.684425354003906,-297.723767970273,-463.8682990600785,17.13498306274414
3566643651231641600,167.79032064723785,-10.948251409025147,50.303565416707826,0.016585443168878555,8.795940399169922,-942.3386512424261,592.9176363214872,37.397727966308594
419121948343397888,4.943235713507629,52.22031059256852,50.30688654250263,0.11685384064912796,17.32767105102539,310.27210190811525,-278.8531989449751,
4319908862597055232,290.4182563607856,14.677830427187898,50.307603765615106,0.029690131545066833,13.018941879272461,-33.01635009844056,-75.9331184898327,
82512476444934528,37.604715066449785,16.805130281118615,50.313465034384166,0.07379618287086487,15.384780883789062,210.57540274672473,-421.13746730188967,49.5552978515625
3825820772648802688,146.5360707575591,-4.427614872539686,50.32885706762648,0.08174023032188416,13.936209678649902,-551.3032429478611,170.18857623836556,25.420984268188477
3352081447497931264,100.42870725855788,12.445392442104403,50.33560963053702,0.023803383111953735,13.441047668457031,11.318524328848945,-24.552160295386116,
4864160624337973248,68.17902996429045,-39.79100877620122,50.33991044540537,0.015072700567543507,11.532964706420898,239.36766680125513,-967.5973374565774,10.944952964782715
4805866957374888448,81.64896813762006,-42.338211158356906,50.34134278860604,0.012113708071410656,10.201844215393066,-185.20650006783217,-2.1553705979151285,4.317638874053955
2611463952760479232,341.61288824688626,-6.659721252169671,50.34538252121983,0.029121441766619682,14.158744812011719,694.929661412599,-539.7455438934087,4.469418525695801
4665366619931917824,74.88261512661207,-61.88437139795797,50.35030116954927,0.014424275606870651,11.3923921585083,-197.42398680657692,23.999306977493163,36.04895782470703
2928420272788743296,107.82001459728738,-21.298800904869406,50.350775818215354,0.01499311625957489,13.197112083435059,-103.59975202580827,-64.19455204020532,15.582822799682617
4805866957374888576,81.64743563552717,-42.33870586871349,50.35275443850639,0.016064003109931946,11.761265754699707,-184.13240061161187,-19.157539401885668,4.91303825378418
921952117778154240,121.72910641215296,42.291293750076996,50.35499420555119,0.028408348560333252,12.761720657348633,-224.67305594418417,-273.246549725955,21.061840057373047
2869128764655109504,351.0033849245028,28.567303390320834,50.35517891411731,0.027489610016345978,14.133530616760254,728.3251478509914,-80.1610297426753,8.11523151397705
5380149023092265856,179.90447706741833,-42.946229979317195,50.361879744512315,0.021766066551208496,12.217034339904785,-403.82740716986467,-460.4750301513892,44.27975082397461
5321049521489667328,128.42805813343125,-53.60972622157424,50.378625132753484,0.04872665926814079,16.108299255371094,-256.1630040985941,389.03861970434184,
