SOURCE_ID,ra,dec,parallax,parallax_error,phot_g_mean_mag,bp_rp,ruwe
144058155207044096,44.75900087671342,40.94275147645567,21.454918874899953,0.04806104,15.283187,3.3010855,1.1622351
208396456066072704,78.74394679612895,44.52598011222102,23.764109489977574,0.014052959,9.960061,1.3404865,0.8946107
214278877632667136,83.47074064985048,49.5117765690859,25.004089335355857,0.020089114,12.34898,2.2664156,1.1536366
214744894467314944,89.60118040553509,51.65239069514552,19.336178181209956,0.045376178,15.714325,3.0197983,1.1153485
230120538087362560,59.1161255285894,40.646862374428586,16.769024409292584,0.021122232,11.57401,1.7312651,1.1339957
231618966280159360,60.27779420879287,43.464272793211485,29.430681322337602,0.10809383,17.190792,4.2135277,0.9792446
232757991605432704,65.52725960740705,45.332514969740004,20.573168682184104,0.024013208,14.018428,2.7864656,1.1893663
233071146263359872,61.31392213295855,43.74274003780573,17.530206501387088,0.031031666,14.829885,2.7774773,1.2118634
239254765293939968,49.254099812971425,40.35604503370682,27.31919410810997,0.020502279,13.478865,2.852747,1.2658566
244591244981542144,56.16414510720119,45.456976385951656,25.476381739002836,0.021316534,13.85949,2.6941118,1.1487397
244840902835712384,55.31403570246089,45.895831297080306,18.579811354893238,0.083846435,14.935928,2.0272083,1.0342845
253416612503837312,66.46871770855148,44.07837083500963,18.424704439924174,0.0734321,16.686022,3.4056988,1.0112392
256051385957701120,73.28718212294,48.93770031608271,16.761717573058117,0.034792386,15.095141,2.887004,1.1309305
257502810028612992,69.16052083932527,48.16777032161387,26.036778444623195,0.24917823,18.523117,4.163162,1.1272062
258603249367339264,69.71193472319747,49.95148716655495,16.908631656058414,0.017020209,13.202113,2.3905716,1.2260649
260081164791168640,75.48585972512903,52.68473520908444,19.48935033028505,0.037003648,15.613464,2.9391317,1.0582219
265864767753514112,78.34761446004124,52.407499726361294,26.583317834371275,0.017143432,13.446208,2.5931044,1.2634768
267146523434846208,75.64209595002107,54.01819857927243,21.716396402039216,0.03907344,15.24423,0.05253601,1.0659801
269066953631488384,89.98201323957848,58.56976827470822,74.20506525451665,0.024624594,12.086062,2.9930649,1.1695296
269430621397820672,83.07999558307922,57.4683449874846,19.134783615454253,0.013846051,12.359404,2.1076632,1.0501254
271045494745872896,68.46060679867482,51.621766336312945,17.5563751298499,0.06546564,15.1656065,2.892909,0.9434239
280934227446137344,77.69188295047232,57.73113562017687,24.8285399526198,0.021499187,12.957534,2.3490381,1.2652166
333112410735588608,32.955320622043985,40.71256573426754,24.28905999648188,0.021226095,8.737712,1.011383,1.1479542
340028235795364864,39.25773057928465,42.06244688260417,16.667033294093233,0.02789129,7.1434135,0.77686644,0.94748163
341435778180966528,36.861923179685654,44.414479049525845,18.063177731164505,0.032209635,15.080615,3.0626736,1.0844237
350096773008029440,28.107410159706514,45.79208465252475,21.44886500249759,0.053824775,15.510036,3.1929407,1.0563258
