stypes,count_hab,error_hab,count_unhab,error_unhab
F,7.333333333333333,0.9428090415820634,113.66666666666667,8.956685895029603
G,37.0,7.788880963698615,122.0,6.97614984548545
K,122.33333333333333,5.436502143433363,523.6666666666666,18.660713336371206
