pl_name,hostname,discoverymethod,disc_facility,tran_flag,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_rade_reflink,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassprov,pl_bmasse_reflink,st_teff,st_rad,st_mass,st_lum,sy_dist
Kepler-226 c,Kepler-226,Transit,Kepler,1,180.513,13.462,-12.379,0,2.27,0.9,-0.9,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,45.2,22.5,-19.1,0,Mass,<a refstr=HADDEN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...787...80H/abstract target=ref> Hadden et al. 2014 </a>,5571.0,0.802,0.904,-0.23921,980.138
Kepler-227 b,Kepler-227,Transit,Kepler,1,104.641,8.011,-7.367,0,3.11,1.57,-1.57,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,9.85,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,5854.0,1.091,0.954,-0.12113,1083.06
Kepler-113 b,Kepler-113,Transit,Kepler,1,105.333,2.415,-2.368,0,1.82,0.05,-0.05,0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,11.7,4.2,-4.2,0,Mass,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,4725.0,0.69,0.75,-0.57598,262.351
Kepler-48 d,Kepler-48,Transit,Kepler,1,9.292,0.229,-0.224,0,2.04,0.11,-0.11,0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,7.93,4.6,-4.6,0,Mass,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,5194.0,0.89,0.88,-0.28926,306.738
Qatar-2 b,Qatar-2,Transit,Qatar,1,447.4134,25.5626,-25.5626,0,14.056,0.146,-0.146,0,<a refstr=MANCINI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.443.2391M/abstract target=ref>Mancini et al. 2014</a>,792.635,17.162,-17.162,0,Mass,<a refstr=MANCINI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.443.2391M/abstract target=ref>Mancini et al. 2014</a>,4645.0,0.776,0.743,-0.6832,181.374
Kepler-117 c,Kepler-117,Transit,Kepler,1,41.863,2.586,-2.407,0,12.341,0.392,-0.392,0,<a refstr=BRUNO_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...573A.124B/abstract target=ref>Bruno et al. 2015</a>,584.78,57.21,-57.21,0,Mass,<a refstr=BRUNO_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...573A.124B/abstract target=ref>Bruno et al. 2015</a>,6150.0,1.606,1.129,0.53776,1455.57
Kepler-161 b,Kepler-161,Transit,Kepler,1,123.4,2.724,-2.662,0,2.12,0.14,-0.14,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,2.63,0.83,-0.61,0,Mass,<a refstr=OFIR_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169...90O/abstract target=ref>Ofir et al. 2025</a>,5078.0,0.806,0.853,-0.44679,434.632
Kepler-153 b,Kepler-153,Transit,Kepler,1,21.609,0.565,-0.552,0,2.92,1.76,-1.76,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,8.85,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,5404.0,0.892,0.756,-0.4463,459.368
Kepler-229 c,Kepler-229,Transit,Kepler,1,21.637,1.68,-1.541,0,4.92,1.74,-1.74,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,21.5,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,5120.0,0.728,0.808,-0.53795,826.265
Kepler-100 d,Kepler-100,Transit,Kepler,1,53.981,0.934,-0.92,0,1.61,0.05,-0.05,0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,3.0,,,1,Mass,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,5825.0,1.49,1.08,0.39445,304.645
Kepler-98 b,Kepler-98,Transit,Kepler,1,1107.389,25.883,-25.258,0,1.99,0.22,-0.22,0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,3.55,1.6,-1.6,0,Mass,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,5539.0,1.11,0.99,-0.13324,350.315
Kepler-117 b,Kepler-117,Transit,Kepler,1,157.541,9.731,-9.059,0,8.059,0.269,-0.269,0,<a refstr=BRUNO_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...573A.124B/abstract target=ref>Bruno et al. 2015</a>,29.875,10.488,-10.488,0,Mass,<a refstr=BRUNO_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...573A.124B/abstract target=ref>Bruno et al. 2015</a>,6150.0,1.606,1.129,0.53776,1455.57
Kepler-430 b,Kepler-430,Transit,Kepler,1,40.844,1.863,-1.776,0,3.25,,,0,<a refstr=EVERETT_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....149...55E/abstract target=ref>Everett et al. 2015</a>,10.6,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,5884.0,1.485,1.166,0.31207,917.477
Kepler-230 b,Kepler-230,Transit,Kepler,1,11.816,0.604,-0.57,0,4.26,2.17,-2.17,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,16.8,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,5588.0,0.817,0.784,-0.36784,740.754
Kepler-166 b,Kepler-166,Transit,Kepler,1,77.543,2.991,-2.887,0,2.27,1.17,-1.17,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,5.77,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,5413.0,0.742,0.811,-0.38508,603.53
Kepler-131 b,Kepler-131,Transit,Kepler,1,66.122,1.33,-1.31,0,2.41,0.2,-0.2,0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,16.13,3.5,-3.5,0,Mass,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,5685.0,1.03,1.02,0.02191,228.678
Kepler-406 b,Kepler-406,Transit,Kepler,1,826.933,20.351,-19.869,0,1.43,0.03,-0.03,0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,6.35,1.4,-1.4,0,Mass,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,5538.0,1.07,1.07,0.0482,364.03
Kepler-249 c,Kepler-249,Transit,Kepler,1,12.529,1.281,-1.174,0,1.51,0.09,-0.09,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,2.89,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,3568.0,0.482,0.510238,-1.49485,190.401
Kepler-162 c,Kepler-162,Transit,Kepler,1,77.052,3.212,-3.073,0,3.03,1.63,-1.63,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,9.43,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,5816.0,0.958,1.053,0.1554,855.641
