kepid,kepoi_name,koi_disposition,koi_pdisposition,koi_period,koi_prad,koi_sma,koi_insol,koi_depth,koi_duration,koi_incl,koi_steff,koi_srad,koi_smass,koi_kepmag,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_num_transits,koi_tce_delivname,dataspan,dutycycle,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p0,rrmscdpp12p5,rrmscdpp15p0
3832474,K00806.04,FALSE POSITIVE,FALSE POSITIVE,381.850599,3.59,1.026,0.58,1702.0,4.772,89.95,5485.0,0.867,0.986,15.403,,,13.8,,,1459.789,0.8752,378.551,342.104,328.206,309.0,297.045,275.571,267.237,255.229,241.873,235.893,234.107,234.225,234.408,239.802
3646449,K04999.01,CANDIDATE,CANDIDATE,65.752109,2.0,0.3239,10.36,382.5,6.854,89.92,5816.0,1.03,1.047,15.478,3.7175658,9.027697,9.9,20.0,q1_q17_dr25_tce,1459.789,0.8755,368.07,323.194,300.159,274.669,258.1,231.064,219.245,203.08,183.357,169.76,159.267,150.666,147.652,133.79
9097892,K03809.01,FALSE POSITIVE,FALSE POSITIVE,1.674690886,29.78,0.028,2558.96,527.4,2.0179,51.39,6397.0,1.157,1.042,13.593,9.8815775,34.659485,118.6,798.0,q1_q17_dr25_tce,1459.789,0.8754,99.315,87.571,82.232,75.971,72.056,65.471,62.71,58.652,54.134,50.261,47.336,45.129,44.58,41.701
3832474,K00806.02,CONFIRMED,CANDIDATE,60.32494216,12.19,0.2998,6.77,20280.4,6.6188,89.83,5485.0,0.867,0.986,15.403,88.82677,323.38303,347.2,22.0,q1_q17_dr25_tce,1459.789,0.8752,378.551,342.104,328.206,309.0,297.045,275.571,267.237,255.229,241.873,235.893,234.107,234.225,234.408,239.802
2582800,K04949.01,FALSE POSITIVE,FALSE POSITIVE,615.16033,4.48,1.7973,8.08,267.1,3.958,89.95,7937.0,2.711,2.043,13.503,,,5.4,,q1_q16_tce,1459.789,0.8754,108.708,95.889,90.055,83.06,79.043,71.992,69.369,65.521,61.205,57.64,55.033,52.609,51.933,48.89
2851100,K01104.01,FALSE POSITIVE,FALSE POSITIVE,0.890110752,1.25,0.0167,838.42,321.5,0.8774,88.4,4768.0,0.711,0.815,15.723,3.900514,13.76514,19.6,1503.0,q1_q17_dr25_tce,1459.789,0.8754,442.747,391.893,365.965,335.95,318.422,284.964,272.718,251.852,230.63,215.144,203.343,194.211,191.231,178.038
2860788,K06297.01,FALSE POSITIVE,FALSE POSITIVE,2.629870555,34.05,0.0349,659.45,101310.0,6.606,78.5,5566.0,0.967,0.822,14.043,492.26108,6797.841,1026.0,515.0,q1_q17_dr25_tce,1459.789,0.8737,286.564,272.443,277.4,277.216,283.744,291.53,295.474,307.811,329.855,350.729,370.413,395.335,404.294,459.689
2860793,K02277.01,FALSE POSITIVE,FALSE POSITIVE,2.62982665,17.88,0.0418,3542.64,126.4,6.213,26.24,6712.0,1.846,1.411,13.395,5.3396544,20.492586,24.6,513.0,q1_q17_dr25_tce,1459.789,0.8753,126.208,114.5,109.637,103.202,99.763,94.017,91.775,88.518,84.667,80.959,78.356,76.594,75.967,72.868
9141355,K05622.01,CONFIRMED,CANDIDATE,469.61309,3.24,1.117,0.37,1234.7,13.709,89.61,5474.0,0.763,0.847,15.696,9.01089,13.892415,18.2,3.0,q1_q17_dr25_tce,1459.789,0.8753,318.818,280.697,261.991,240.842,227.185,204.507,195.379,181.544,166.409,153.753,145.649,139.365,137.539,127.639
2972800,K04609.01,FALSE POSITIVE,FALSE POSITIVE,361.43653,1.56,0.9233,1.22,271.9,9.08,89.95,6028.0,0.938,0.802,13.791,,,10.8,,,1459.789,0.8751,128.75,113.065,105.52,97.01,91.726,82.166,78.301,72.584,66.112,61.594,58.222,55.58,54.842,50.993
2985587,K02807.01,CANDIDATE,CANDIDATE,3.375716723,2.34,0.0458,1111.66,175.7,1.5436,77.4,6310.0,1.282,1.122,13.91,4.1968236,16.681965,20.2,394.0,q1_q17_dr25_tce,1459.789,0.8752,139.97,124.395,118.037,109.846,104.519,95.7,92.382,87.146,82.039,78.451,75.995,73.965,73.451,71.349
2985767,K02032.01,CONFIRMED,CANDIDATE,14.07969236,2.08,0.1176,177.81,169.5,1.375,89.53,5821.0,1.547,1.092,12.261,5.413903,22.375027,26.2,94.0,q1_q17_dr25_tce,1459.789,0.8752,56.333,50.241,47.645,44.574,42.877,39.541,38.189,36.225,34.217,32.937,32.048,31.603,31.493,31.142
2449101,K04236.01,FALSE POSITIVE,FALSE POSITIVE,0.739761008,9.67,0.0113,117.05,292.1,7.589,9.74,3417.0,0.35,0.354,15.049,7.0742383,13.327574,34.7,1811.0,q1_q17_dr24_tce,1459.789,0.8754,1175.597,1039.35,975.71,902.34,851.216,770.876,736.409,688.216,628.077,581.861,547.37,520.569,514.559,476.724
